id,study,study_dum,cond,targ.gend,targ.gend.dum,day,day.dum,warmth,competence,ideal,feminine,masculine,earner
499,2,0,1,mother,0,tuesday,0,7.25,5.833333333,4,7,3,5
511,2,0,1,mother,0,tuesday,0,9,7,7,9,1,5
541,2,0,1,mother,0,tuesday,0,6.625,5.583333333,3,6,2,5
559,2,0,1,mother,0,tuesday,0,6.25,5.916666667,2,5,2,2
573,2,0,1,mother,0,tuesday,0,8.375,6.916666667,5,9,1,7
590,2,0,1,mother,0,tuesday,0,5.875,5.25,4,6,5,5
607,2,0,1,mother,0,tuesday,0,5.875,3.083333333,6,9,1,1
623,2,0,1,mother,0,tuesday,0,8.75,8.5,5,9,2,3
642,2,0,1,mother,0,tuesday,0,8.375,6.416666667,6,7,2,5
662,2,0,1,mother,0,tuesday,0,7.75,6.916666667,7,9,3,1
693,2,0,1,mother,0,tuesday,0,6.5,5.25,5,6,2,2
700,2,0,1,mother,0,tuesday,0,6.625,5.916666667,5,7,1,6
730,2,0,1,mother,0,tuesday,0,7.875,6.416666667,7,8,2,1
751,2,0,1,mother,0,tuesday,0,8.625,8.083333333,7,9,3,8
804,2,0,1,mother,0,tuesday,0,9,7.166666667,4,9,1,1
821,2,0,1,mother,0,tuesday,0,7.5,4.75,5,8,4,3
833,2,0,1,mother,0,tuesday,0,6.875,5.166666667,5,8,2,4
878,2,0,1,mother,0,tuesday,0,7.625,6.25,4,7,3,3
891,2,0,1,mother,0,tuesday,0,7.875,7.083333333,6,8,1,5
902,2,0,1,mother,0,tuesday,0,7.625,6.083333333,5,6,2,2
924,2,0,1,mother,0,tuesday,0,7.625,5.5,6,8,2,2
946,2,0,1,mother,0,tuesday,0,6.875,6.25,4,7,2,7
962,2,0,1,mother,0,tuesday,0,7.625,6.5,5,9,1,4
5,2,0,2,mother,0,saturday,1,7.5,5.083333333,4,5,2,5
25,2,0,2,mother,0,saturday,1,8.5,5.083333333,5,9,1,3
30,2,0,2,mother,0,saturday,1,8.875,7.166666667,5,8,2,3
40,2,0,2,mother,0,saturday,1,7.625,4.916666667,4,9,1,2
54,2,0,2,mother,0,saturday,1,6.625,5.583333333,3,7,3,3
55,2,0,2,mother,0,saturday,1,8.5,6.666666667,7,9,1,5
61,2,0,2,mother,0,saturday,1,5.875,4.583333333,4,4,3,1
69,2,0,2,mother,0,saturday,1,6.75,6.166666667,6,8,2,6
151,2,0,2,mother,0,saturday,1,7.125,6.416666667,4,6,4,5
157,2,0,2,mother,0,saturday,1,7.625,6.5,4,6,2,7
161,2,0,2,mother,0,saturday,1,7.875,6.25,6,8,1,7
165,2,0,2,mother,0,saturday,1,8.25,6.833333333,3,9,1,8
172,2,0,2,mother,0,saturday,1,6.875,5.583333333,5,8,3,3
189,2,0,2,mother,0,saturday,1,7.875,5.583333333,5,8,2,7
191,2,0,2,mother,0,saturday,1,6.875,6.333333333,5,7,1,3
196,2,0,2,mother,0,saturday,1,8.625,7.583333333,5,9,1,7
197,2,0,2,mother,0,saturday,1,7,5.833333333,6,7,1,2
203,2,0,2,mother,0,saturday,1,7,6.583333333,6,7,1,4
205,2,0,2,mother,0,saturday,1,7.125,5.083333333,5,7,3,3
208,2,0,2,mother,0,saturday,1,6.5,5.416666667,4,7,1,7
213,2,0,2,mother,0,saturday,1,8.625,7.583333333,4,7,2,3
219,2,0,2,mother,0,saturday,1,8.625,7.25,6,7,5,6
227,2,0,2,mother,0,saturday,1,6.75,5,4,9,2,4
236,2,0,2,mother,0,saturday,1,8.125,7.083333333,6,8,2,9
241,2,0,2,mother,0,saturday,1,7.375,5.916666667,7,9,1,1
256,2,0,2,mother,0,saturday,1,7.5,6.5,6,6,4,2
262,2,0,2,mother,0,saturday,1,7.875,5.833333333,5,8,2,4
280,2,0,2,mother,0,saturday,1,8.625,7.666666667,6,8,2,7
436,2,0,2,mother,0,saturday,1,8.125,6.583333333,6,8,2,3
460,2,0,2,mother,0,saturday,1,7,6.333333333,6,6,2,5
466,2,0,2,mother,0,saturday,1,9,3,4,9,1,1
496,2,0,2,mother,0,saturday,1,7.625,6.416666667,5,7,2,5
501,2,0,2,mother,0,saturday,1,6.875,5.916666667,6,7,3,5
